,connections,read_percent,write_percent,db_mem_coef,pgpool_cache_coef,read_cost,write_cost
0,20,4.75,95.22,0.5414185165132648,0.8121277747698972,114.87578947368422,4.127181264440243
1,20,4.75,95.22,0.5414185165132648,1.0828370330265296,114.87578947368422,4.127181264440243
2,20,4.75,95.22,0.8121277747698972,0.8121277747698972,114.87578947368422,4.127181264440243
3,20,4.75,95.22,0.8121277747698972,1.0828370330265296,114.87578947368422,4.127181264440243
4,80,4.75,95.22,0.5414185165132648,0.8121277747698972,114.87578947368422,4.127181264440243
5,80,4.75,95.22,0.5414185165132648,1.0828370330265296,114.87578947368422,4.127181264440243
6,80,4.75,95.22,0.8121277747698972,0.8121277747698972,114.87578947368422,4.127181264440243
7,80,4.75,95.22,0.8121277747698972,1.0828370330265296,114.87578947368422,4.127181264440243
8,100,4.75,95.22,0.5414185165132648,0.8121277747698972,114.87578947368422,4.127181264440243
9,100,4.75,95.22,0.5414185165132648,1.0828370330265296,114.87578947368422,4.127181264440243
10,100,4.75,95.22,0.8121277747698972,0.8121277747698972,114.87578947368422,4.127181264440243
11,100,4.75,95.22,0.8121277747698972,1.0828370330265296,114.87578947368422,4.127181264440243
12,300,4.75,95.22,0.5414185165132648,0.8121277747698972,114.87578947368422,4.127181264440243
13,300,4.75,95.22,0.5414185165132648,1.0828370330265296,114.87578947368422,4.127181264440243
14,300,4.75,95.22,0.8121277747698972,0.8121277747698972,114.87578947368422,4.127181264440243
15,300,4.75,95.22,0.8121277747698972,1.0828370330265296,114.87578947368422,4.127181264440243
16,50,4.75,95.22,0.5414185165132648,0.8121277747698972,114.87578947368422,4.127181264440243
17,50,4.75,95.22,0.5414185165132648,1.0828370330265296,114.87578947368422,4.127181264440243
18,50,4.75,95.22,0.8121277747698972,0.8121277747698972,114.87578947368422,4.127181264440243
19,50,4.75,95.22,0.8121277747698972,1.0828370330265296,114.87578947368422,4.127181264440243
